[637]	0|-0-|Vimal Katiyar, M. Ravi Sankar, Arbind Prasad|-0-|Process for the preparation of resorbable polymeric composite U type bone staple|-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[638]	0|-0-|Vimal Katiyar, M. Ravi Sankar, Arbind Prasad|-0-|Process for the preparation of polymer based Cancellous screws and pins|-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[639]	0|-0-|Vimal Katiyar, M. Ravi Sankar, Arbind Prasad|-0-|Resorbable cortical screw|-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[640]	0|-0-|Vimal Katiyar, M. Ravi Sankar, Arbind Prasad|-0-|Resorbable polymer composite bone plate|-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[641]	0|-0-|Avilash Sahu, S K Dwivedy, P.S. Robi|-0-|Underwater vehicle|-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[642]	0|-0-|Nandan Kanan Das and Pankaj Biswas,|-0-|Design and development of JIG & FIXTURE for fabrication of cylindrical pin profile of FSW tool of tungsten carbide material using Wire EDM|-0-||-0-||-0-||-0-||-0-||-0-||-0-|Ref. No. 240P1901|-0-||-0-|
[643]	0|-0-|U.S. Dixit, A.Ch. Borsaikia, A. Raj|-0-|Autoclaved aerated concrete(aac) block unit comprising in-built anchorage/frog on surface for enhancement of bonding and lateral/shear strength in masonry wall system|-0-||-0-||-0-||-0-||-0-||-0-||-0-|US Patent Number: 201831028883|-0-||-0-|
[644]	0|-0-|Juan Chowdhury, Gaurav Kumar, Karuna Kalita, Sashindra K Kakoty|-0-|Linear Switched Reluctance Actuator for Powerloom|-0-||-0-||-0-||-0-||-0-||-0-||-0-|US Patent Number: 201731045107|-0-||-0-|
[645]	0|-0-|Juan Chowdhury, Gaurav Kumar, Karuna Kalita, Sashindra K Kakoty|-0-|High Force Density Quad Air Gap Switched Reluctance Motor|-0-||-0-||-0-||-0-||-0-||-0-||-0-|US Patent Number: 201731045006|-0-||-0-|
[646]	0|-0-|Gaurav Kumar, Karuna Kalita, Kari Tammi, Seamus D Garvey, WKS Khoo|-0-|Generation of Selective Pole Pair Field and Selective Frequency Transverse Force in Bridge Configured Winding Electrical Machines|-0-||-0-||-0-||-0-||-0-||-0-||-0-|US Patent Number: 201831000913|-0-||-0-|
[647]	0|-0-|Mishra SC, Pantangi VK.|-0-|Porous Radiant Burner for Domestic LPG Cooking Device with Improved Thermal Efficiency and Reduced Emissions of CO and NOx. Patent Number|-0-||-0-||-0-||-0-||-0-||-0-||-0-|US Patent Number: E-2/548/2013-KOL|-0-||-0-|
[648]	0|-0-|Mishra SC, Niraj Kumar Mishra|-0-|Self-Aspirated LPG Domestic Cooking Stove with a Two-Layer Porous Radiant Burner,|-0-||-0-||-0-||-0-||-0-||-0-||-0-|Indian Patent No: 543/KOL/2015|-0-||-0-|
[649]	0|-0-|Mishra SC, Niraj Kumar Mishra and Snehasish Panigrahi|-0-|Medium-Scale Self-Aspirated Improved Air Entrainment LPG Cooking Stove with a Two-Layer Porous Radiant Burner,|-0-||-0-||-0-||-0-||-0-||-0-||-0-|Indian Patent No: 201631015526 dated on 4th May 2016|-0-||-0-|
[650]	0|-0-|Mishra SC, G.S. Sinha, M Sharma, N Mishra, P. Mahanta,|-0-|Self-Aspirated Pressurized Kerosene Cooking Stove with a Porous Radiant Burner,|-0-||-0-||-0-||-0-||-0-||-0-||-0-|Application No: 201631037245 dated on 31st October 2016.|-0-||-0-|
[651]	0|-0-|G.S. Sinha, L K Kaushik M Sharma, N Shanmuga Priya, S Kanagaraj|-0-|Self-Aspirated Pressurized Kerosene Cooking Stove with a Porous Radiant Burner with Nanoparticles blended.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|Application No: 201831003156 (TEMP/E-1/3419/2018-KOL) dated on 27th Jan 2018|-0-||-0-|
[128]	1|-0-|S. Bag and M. R. Amin|-0-|Simulation based study on ultra-short pulse laser welding of dissimilar materials expending phase lag influence|-0-|2017|-0-|IMECE 17, November 3 - 9, 2017, Tampa, Florida, USA.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[129]	1|-0-|S. Bag|-0-|Microscale heat transfer in fusion welding of glass by ultra-short pulse laser using dual phase lag effects|-0-|2017|-0-|International Conference on Recent Advances in Materials & Manufacturing Technologies (IMMT 2017), 28th - 29th November, 2017, Dubai.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[130]	1|-0-|B. Das, S. Pal and S. Bag|-0-|Weld defect identification in friction stir welding using power spectral density|-0-|2017|-0-|International Conference on Recent Advances in Materials & Manufacturing Technologies (IMMT 2017), 28th - 29th November, 2017, Dubai.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[131]	1|-0-|S. Bag:|-0-|Feasibility of dissimilar microwelding using femtosecond pulse laser|-0-|2017|-0-|5th International Congress of the International Institute of Welding, 7th - 9th December, 2017, Chennai, India.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[132]	1|-0-|A. Sahu and S. Bag|-0-|Micro-plasma Arc welding of Inconel718 thin Sheets,|-0-|2017|-0-|5th International Congress of the International Institute of Welding, 7th - 9th December, 2017, Chennai, India.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[133]	1|-0-|S. Bag, D. K. Yaduwanshi and S. Pal|-0-|Role of physical variables in dynamic recrystallization during friction stir welding of aluminium alloy|-0-|2017|-0-|Advances in Materials & Processing Technologies, 11th - 14th December, 2017, Chennai, India.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[134]	1|-0-|B. Kumar, M. Baruah and S. Bag|-0-|On the effect of heat input in cooling rate and microstructure of laser welded Ti-6Al-4V alloy|-0-|2017|-0-|Advances in Materials & Processing Technologies, 11th - 14th December, 2017, Chennai, India.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[135]	1|-0-|Avinish Tiwar, Piyush Singh, Pankaj Biswas and Sachin D. Kore|-0-|Effect of traverse speed on FSW of AISI 1006 low carbon steel|-0-|2017|-0-|10th International Conference on Precision, Meso, Micro and Nano Engineering (COPEN 2017), 7-9 December 2017, IIT Madras.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[136]	1|-0-|Avinish Tiwar, Piyush Singh, Pankaj Biswas and Sachin D. Kore|-0-|Friction Stir Welding of AISI 1006 Low Carbon Steel|-0-|2018|-0-|1st International Conference on Mechanical Engineering (INCOM 2018), 4- 6 January 2018, Jadavpur University, Jadavpur.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[137]	1|-0-|Saurav Suman , Pankaj Biswas , Basil Kuriachen , Abhijit Sinha, ,|-0-|Modelling an arc welded fillet joint for minimum welding induced distorsions|-0-|2018|-0-|3rd International Conference on Design, Analysis, Manufacturing and Simulation,ICDAMS 2018,Chennai, INDIA, 6-7 April, 2018.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[138]	1|-0-|Jena, S. R., Dalal, A., and Natarajan, G.|-0-|Development of Turbulent Axisymmetric Solver Over a Hybrid Unstructured Grid|-0-|2017|-0-|44th National Conference on Fluid Mechanics and Fluid Power, Amrita University, Kollam, India|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[139]	1|-0-|Pandey, V., Biswas, G., and Dalal, A.|-0-|Dependence of Growth Rate, Pinch-off Velocity and Size of a Single Bubble During Film Boiling on Superheat and Gravity-level|-0-|2017|-0-|Proceedings of the 24th National and 2nd International ISHMT-ASTFE Heat and Mass Transfer Conference, BITS-Pilani, Hyderabad, India.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[140]	1|-0-|Thirumalaisamy, R., Parmananda, M., Dalal, A., and Natarajan, G.,|-0-|Development of a Low Mach Number Solver to Study Combined Turbulent Convective-Radiative Heat Transfer|-0-|2017|-0-|6th Asian Symposium on Computation Heat Transfer and Fluid Flow, IIT Madras, India.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[141]	1|-0-|Nath, B., Borthakur, M. P., Biswas, G. and Dalal, A.,|-0-|Deformation of a Droplet in Constricted Microfluidic Channels at Low Reynolds number|-0-|2017|-0-|6th Asian Symposium on Computation Heat Transfer and Fluid Flow, IIT Madras, India.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[142]	1|-0-|Nath, B., Borthakur, M. P., Biswas, G. and Dalal, A., USA|-0-|Dynamics of Droplet Deformation in Microchannels with Symmetric and Asymmetric Constrictions|-0-|2017|-0-|Proceedings of the ASME 2017 International Mechanical Engineering Congress & Exposition, Tampa, Florida,|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[143]	1|-0-|Manik, J., Parmananda, M., Kotoky, S., Borgohain, P., Dalal, A., and Natarajan, G.,|-0-|Lessons from Anupravaha: Towards a General Purpose Computational Framework on Hybrid Unstructured Meshes for Multi-Physics Applications|-0-|2017|-0-|ICHMT International Symposium on Advances in Computational Heat Transfer, Napoli, Italy.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[144]	1|-0-|U. S. Dixit|-0-|Keynote in National Conference on Applied Sciences, Sustainable & Evolving Technologies|-0-|2018|-0-|63rd Annual Technical Session of Assam Science Society, ASSET 2018, March 9-11, 2018, CIT, Kokrajhar|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[145]	1|-0-|Pushp S., Bhardwaj B., Hazarika S.M.|-0-|Cognitive Decision Making for Navigation Assistance Based on Intent Recognition|-0-|2017|-0-|In: Ghosh A., Pal R., Prasath R. (eds) Mining Intelligence and Knowledge Exploration. MIKE 2017. Lecture Notes in Computer Science, vol 10682. Springer, Hyderabad, India|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[146]	1|-0-|Chayanika Nath and S. M. Hazarika|-0-|"Diagrams": A Hybrid Visual Information Representation and Reasoning Paradigm Towards Video Analysis. Diagrams|-0-|2018|-0-|Lecture Notes in Computer Science, (To Appear). Springer, June 18-22, 2018, Edinburgh, UK.|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[147]	1|-0-|A. Singh, P. Kumari|-0-|Accurate stress solution for laminated rectangular plates bonded with functionally graded adhesive interlayer and subjected to transverse loading|-0-|2017|-0-|INCAM – 2017, 5-7 July 2017, MNNIT Allahabad, India|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[148]	1|-0-|S Behera, P Kumari|-0-|Free vibration analysis of piezoelectric plate using Mixed-field Extended Kantorovich Method|-0-|2017|-0-|INCAM – 2017, 5-7 July 2017, MNNIT Allahabad, India|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
[149]	1|-0-|A. Singh, R. Hazarika, P. Kumari|-0-|Three-dimensional analytical solution of FGM panel with varying material properties along in-plane directions using Extended Kantorovich Method|-0-|2017|-0-|ICCE-25, 16-22 July, 2017, Rome, Italy|-0-||-0-||-0-||-0-||-0-||-0-||-0-|
